id,name,side,avg_bat_speed,swing_tilt,attack_angle,attack_direction,ideal_attack_angle_rate,avg_intercept_y_vs_plate,avg_intercept_y_vs_batter,avg_batter_x_position,competitive_swings,swing_length,pull_air_rate,EV,LA,barrel_per,hardhit_per,z_contact_per,wOBA
502054,"Pham, Tommy",R,73.01552551428573,27.82951987736739,7.463246500253871,1.2129203924186518,0.49071428571428571429,1.5517412259028747,31.371508051170757,27.82649482603072,1400,6.921371575,0.13064713064713063,91.3,8.1,0.082,0.452,0.863,0.31
665833,"Cruz, Oneil",L,78.55907992932855,33.17473063808574,8.835713312188707,-7.080007761,0.45300353356890459364,8.733522305317797,35.29318343223235,27.711746867034833,1415,7.71189783,0.16552901023890787,95.5,9.5,0.172,0.551,0.783,0.327
686681,"Massey, Michael",L,70.66482758645017,32.414197929255856,12.533890014653757,-6.35264456,0.60762173606210303458,5.373557678990598,31.76480138930907,27.473504351995636,1417,7.193733739,0.2642947903430749,88.4,19.3,0.065,0.366,0.899,0.28
643289,"Dubón, Mauricio",R,69.35329914685329,31.37545016431723,4.834184649355047,1.9410056544574161,0.42657342657342657343,3.3313455175151963,27.082829814558764,28.87559338083821,1430,7.592244748,0.14133900106269923,86.2,11.9,0.033,0.279,0.884,0.301
681624,"Pages, Andy",R,72.92587992371703,41.08427924870923,8.958613208,-3.932659749,0.49930651872399445215,-0.039173734,30.619197233085597,29.64868707972181,1442,7.823761422,0.20415224913494812,88.7,18.5,0.093,0.394,0.862,0.325
677800,"Abreu, Wilyer",L,74.3317921,31.636682740429904,10.499502218847079,-2.007767544,0.55210489993098688751,1.0125764681232299,31.498173899691263,26.804014385177858,1449,7.287512899,0.22846441947565543,91.4,20.1,0.112,0.483,0.822,0.343
656716,"McKinstry, Zach",L,67.53427763285029,37.94213883297076,11.36941996139087,0.6451206798065131,0.42512077294685990338,0.8083092620709362,28.184351581441614,25.188211447499743,1449,6.793536969,0.18170580964153274,87,17.2,0.064,0.328,0.89,0.304
680777,"Jeffers, Ryan",R,72.85609371134026,29.723193860678393,9.988334730998636,-3.494051288,0.53676975945017182131,2.5327632653367833,29.959208648932734,27.372256540386616,1455,7.443879299,0.20027434842249656,88.6,16.4,0.092,0.39,0.867,0.338
668709,"Bleday, JJ",L,71.90365732142848,30.320340442124113,12.07924308,-8.758480289,0.55151098901098901099,4.353967209468849,31.969227956184763,31.073609287275808,1456,7.349495663,0.21455938697318008,88.3,18.9,0.073,0.363,0.848,0.313
680869,"Gelof, Zack",R,71.55434996573003,34.08114206417368,16.340552062319986,2.091475137800748,0.54763536668951336532,5.020996520274749,27.495106509446074,29.29917987495587,1459,7.225356616,0.17148362235067435,89.4,13.3,0.096,0.389,0.753,0.299
657077,"Verdugo, Alex",L,67.9698734,30.727534166494227,5.002261863026146,-0.183045659,0.42459239130434782609,1.6164307036512864,32.88335198923922,23.590083803937496,1472,6.273499232,0.12159709618874776,88.9,9.4,0.05,0.371,0.934,0.297
666176,"Adell, Jo",R,77.18936181694923,32.707636256377846,6.003978908225364,-4.626660022,0.46576271186440677966,0.34722038962332535,25.734068309919262,28.445535500209992,1475,7.639620061,0.21161048689138579,90.3,14.8,0.136,0.465,0.822,0.316
624424,"Conforto, Michael",L,73.6901759,31.971538052730224,11.70558354102575,-0.308625174,0.52532072923700202566,2.5545743585604765,28.931818545119533,29.299031386389235,1481,7.308600837,0.18459657701711493,89.7,13.6,0.098,0.428,0.857,0.311
669911,"Toglia, Michael",R,73.31162411328397,35.43757600447488,14.659486864828267,-2.980010604,0.41200269723533378287,3.4083870094784237,28.455468980670492,30.70529532564538,1483,7.566068555,0.21176470588235297,91.1,16.3,0.129,0.468,0.798,0.296
575929,"Contreras, Willson",R,76.09837762,31.975280576505853,9.672035325349672,-1.874745049,0.49765572672471533825,8.236677682933282,28.190131986942767,30.419328732743455,1493,7.876034745,0.1528497409326425,90.9,11.5,0.126,0.466,0.836,0.355
457759,"Turner, Justin",R,65.55844127090293,34.58773843184281,9.551130168297457,-0.149635325,0.52976588628762541806,5.584601154,37.475975990980444,21.575107156849374,1495,6.381141666,0.20108695652173914,88.4,17.1,0.05,0.354,0.9,0.33
670541,"Alvarez, Yordan",L,76.59511310621244,35.10527490825086,9.439655046731128,-5.932040842,0.42551770207080828323,10.121469540931994,36.47374529902095,27.64832540617928,1497,7.622181265,0.18915801614763553,93.2,18,0.156,0.503,0.891,0.395
672275,"Bailey, Patrick",R,71.16621773547095,33.53024381522863,8.897493695869901,-1.610565553,0.44889779559118236473,1.9413892561517283,29.334361062733905,29.074075855109523,1497,7.316272084,0.17341040462427748,89.7,12.1,0.072,0.397,0.864,0.275
